fraudar,copycatch,flowscope,interpretation,confidence,disagreement_type,disagreement_line,priority_if_no_adaptation_low_exposure,priority_if_no_adaptation_high_exposure,priority_if_adaptation_possible
LOW,HIGH,LOW,"CopyCatch flags this case; FRAUDAR, FlowScope could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"CopyCatch HIGH, FRAUDAR, FlowScope LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
LOW,HIGH,N/A,"CopyCatch flags this case; FRAUDAR could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"CopyCatch HIGH, FRAUDAR LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
LOW,LOW,HIGH,"FlowScope flags this case; FRAUDAR, CopyCatch could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FlowScope HIGH, FRAUDAR, CopyCatch LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
LOW,LOW,LOW,"No detector currently flags this pattern (FRAUDAR, CopyCatch, FlowScope checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
LOW,LOW,N/A,"No detector currently flags this pattern (FRAUDAR, CopyCatch checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
LOW,N/A,HIGH,"FlowScope flags this case; FRAUDAR could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FlowScope HIGH, FRAUDAR LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
LOW,N/A,LOW,"No detector currently flags this pattern (FRAUDAR, FlowScope checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
LOW,N/A,N/A,"No detector currently flags this pattern (FRAUDAR checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
N/A,HIGH,HIGH,"Multiple independent detectors agree (CopyCatch, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce.",HIGH,agreement,"All triggered detectors agree (CopyCatch, FlowScope both HIGH).",P2,P1,P1
N/A,HIGH,LOW,"CopyCatch flags this case; FlowScope could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"CopyCatch HIGH, FlowScope LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
N/A,HIGH,N/A,"CopyCatch is the only applicable signal for this ring (FRAUDAR, FlowScope N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,single_source,"Single-source evidence (CopyCatch only) -- no other detector was structurally able to weigh in, so there is nothing to disagree with.",P2,P2,P1
N/A,LOW,HIGH,"FlowScope flags this case; CopyCatch could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FlowScope HIGH, CopyCatch LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
N/A,LOW,LOW,"No detector currently flags this pattern (CopyCatch, FlowScope checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
N/A,LOW,N/A,"No detector currently flags this pattern (CopyCatch checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
N/A,N/A,HIGH,"FlowScope is the only applicable signal for this ring (FRAUDAR, CopyCatch N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,single_source,"Single-source evidence (FlowScope only) -- no other detector was structurally able to weigh in, so there is nothing to disagree with.",P2,P2,P1
N/A,N/A,LOW,"No detector currently flags this pattern (FlowScope checked, none triggered). Not currently actionable.",LOW,none_flagged,No detector currently flags this case -- there is no positive signal for another detector to agree or disagree with.,P3,P3,P1
N/A,N/A,N/A,No detector's evidence type applies to this account pattern -- outside current detection scope entirely.,LOW,not_applicable,No detector's evidence type applies to this ring -- disagreement isn't a meaningful question here.,P3,P3,P1
